Kiener's Route,Colorado,Alpine Rock,RMNP - Rock,Long's Peak,Upper East Face
Zumie's Thumb,Colorado,Alpine Rock,RMNP - Rock,Long's Peak,Upper East Face
The Notch Couloir,Colorado,Alpine Rock,RMNP - Rock,Long's Peak,Upper East Face
Center Shift on Wham Ridge ,Colorado,Alpine Rock,San Juans,The Grenadiers,Vestal Peak
East Face,Colorado,Alpine Rock,San Juans,The Grenadiers,Vestal Peak
Wham Ridge,Colorado,Alpine Rock,San Juans,The Grenadiers,Vestal Peak
Age Axe,Colorado,Alpine Rock,RMNP - Rock,Glacier Gorge,Spearhead
All Two Obvious,Colorado,Alpine Rock,RMNP - Rock,Glacier Gorge,Spearhead
The Barb,Colorado,Alpine Rock,RMNP - Rock,Glacier Gorge,Spearhead
East Prow,Colorado,Alpine Rock,RMNP - Rock,Glacier Gorge,Spearhead
Obviously Four Believers,Colorado,Alpine Rock,RMNP - Rock,Glacier Gorge,Spearhead
Spear Me the Details,Colorado,Alpine Rock,RMNP - Rock,Glacier Gorge,Spearhead
"Spearhead, Chiefshead, Pagoda, Long's Traverse",Colorado,Alpine Rock,RMNP - Rock,Glacier Gorge,Spearhead
Stone Monkey,Colorado,Alpine Rock,RMNP - Rock,Glacier Gorge,Spearhead
Syke's Sickle,Colorado,Alpine Rock,RMNP - Rock,Glacier Gorge,Spearhead
The Ten Essentials,Colorado,Alpine Rock,RMNP - Rock,Glacier Gorge,Spearhead
North Ridge,Colorado,Alpine Rock,RMNP - Rock,Glacier Gorge,Spearhead
East Gully,Colorado,Alpine Rock,RMNP - Rock,Sharkstooth
South Prow,Colorado,Alpine Rock,RMNP - Rock,Sharkstooth
Valhalla,Colorado,Alpine Rock,RMNP - Rock,Sharkstooth
Northeast Ridge,Colorado,Alpine Rock,RMNP - Rock,Sharkstooth
Neathawk-Collett,Colorado,Alpine Rock,RMNP - Rock,Petit Grepon
South Face Variation: La Porte de l'Enfer,Colorado,Alpine Rock,RMNP - Rock,Petit Grepon
Southwest Corner,Colorado,Alpine Rock,RMNP - Rock,Petit Grepon
South Face,Colorado,Alpine Rock,RMNP - Rock,Petit Grepon
Anderson-Magill,Colorado,Alpine Rock,RMNP - Rock,Hallett Peak
Better than Love,Colorado,Alpine Rock,RMNP - Rock,Hallett Peak
Center Route,Colorado,Alpine Rock,RMNP - Rock,Hallett Peak
Collins Donn,Colorado,Alpine Rock,RMNP - Rock,Hallett Peak
Direct Second Buttress,Colorado,Alpine Rock,RMNP - Rock,Hallett Peak
Englishman's Route,Colorado,Alpine Rock,RMNP - Rock,Hallett Peak
Finch Route,Colorado,Alpine Rock,RMNP - Rock,Hallett Peak
Great Dihedral,Colorado,Alpine Rock,RMNP - Rock,Hallett Peak
Hesse-Ferguson,Colorado,Alpine Rock,RMNP - Rock,Hallett Peak
In Between (aka Right Dihedral),Colorado,Alpine Rock,RMNP - Rock,Hallett Peak
Jackin' the Johnson,Colorado,Alpine Rock,RMNP - Rock,Hallett Peak
Jackson-Johnson,Colorado,Alpine Rock,RMNP - Rock,Hallett Peak
